Incident_ID,Sources,Number_News,Media_Attention,Reliability,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Active_Shooter_FBI
20220520VAPOD,https://www.insidenova.com/headlines/potomac-high-school-student-charged-after-bathroom-brandishing/article_f3fa326e-d86d-11ec-bd21-f36cea08fd4d.html,1,Local,3,20/05/2022,Spring,Potomac High School,Dumfries,VA,High,Bathroom,Inside School Building,Yes,Morning Classes,08:19:00,"Student pointed gun at another student in bathroom, arrested by SRO with loaded weapon",A student pointed a handgun under a bathroom stall at another student. Student fled the bathroom and reported gun to SRO. SRO found the student with the gun in a different bathroom and arrested him. Student was also armed with 2 knives.,null,Victims Targeted,No,No,No,No,null,No,null,null,0,No
20220517CASAS,https://www.cbsnews.com/sanfrancisco/news/school-bus-in-san-francisco-hit-by-gunfire/,2,Local,3,17/05/2022,Spring,School Bus,San Francisco,CA,Other,School Bus,School Bus,Yes,Morning Classes,09:00:00,School bus struck multiple times during drive-by,A parked school bus was struck multiple times during a drive-by shooting. Driver took cover. No students were on the bus. No injuries.,Drive-by Shooting,Both,No,No,No,No,No,No,null,No,99,No
20220406WVRIR,https://www.wsaz.com/2022/04/06/student-custody-after-bringing-gun-school-bus/ https://wvmetronews.com/2022/04/06/two-teens-arrested-in-school-shooting-plot/,3,Local,4,06/04/2022,Spring,Ripley Middle School,Ripley,WV,Middle,School Bus,School Bus,Yes,School Start,08:00:00,"Student brandished gun on school bus, subdued by other students, planned execution of student",A 15-year-old student brandished a handgun on a school bus and was subdued by other students. They took out the magazine and gave it to the bus driver who evacuated the bus. Gun was stolen in burglary by shooter's older brother (16-year-old student). They planned to execute a student at the school that day.,null,Victims Targeted,Yes,No,No,No,null,No,No,Yes,0,No
20220331PAACP,https://philadelphia.cbslocal.com/2022/03/31/8-year-old-gun-shooting-west-philadelphia-achievement-charter-elementary-school/ https://www.nbcphiladelphia.com/news/local/schoolyard-gun-philadelphia/3193792/ https://6abc.com/achievement-charter-school-gun-on-campus-child-brings-to-west-philly-guns/11696305/,10,Regional,4,31/03/2022,Spring, West Philadelphia Achievement Charter Elementary School,Philadelphia,PA,Elementary,Playground,Outside on School Property,Yes,School Start,08:45:00,Gun inside a 8-year-old students backpack discharged in school courtyard,A teacher heard a gunshot and found a weapon that discharged inside an 8-year-old student's backpack in the courtyard of the school. School went on lockdown. Student was arrested. ,Accidental,Neither,No,No,No,No,No,No,No,No,1,No
20220325TXROR,https://www.fox4news.com/news/orbeez-challenge-causes-panic-at-royse-city-high-school https://www.wfaa.com/article/news/local/royse-city-texas-high-school-put-on-lockdown-after-students-caught-firing-airsoft-guns/287-4cad56b1-7f25-4063-a46d-3c67df20b4e5,10,Regional,4,25/03/2022,Spring,Royse City High School,Royse City,TX,High,Parking Lot,Outside on School Property,Yes,School Start,08:15:00,Active shooter response to school for 5 students firing pellet guns for TikTok challenge,Police responded for multiple reports of an active shooter at the high school. School went into lockdown for 3 hours. Police found 5 students with gel pellet guns who were filming a TikTok challenge to shoot random people. No criminal charges filed.,Indiscriminate Shooting,Random Shooting,Yes,No,No,No,No,No,No,No,99,No
20220318ILBAB,https://www.chicagotribune.com/news/breaking/ct-barrington-high-school-pellet-guns-shot-at-lgbtq-students-20220318-ans632prmngx3fxixmgzaq3vbu-story.html,1,Regional,4,18/03/2022,Spring,Barrington High School,Barrington,IL,High,Front of School,Both Inside/Outside,Yes,School Start,08:00:00,Two teens shot with pellet guns walking into school,Two LDBTQ students were shot with pellet guns by teens in vehicle while walking into school. Shooters chased the students into the school cafeteria. Shoot was part of TikTok challenge to shoot at people with gel pellet guns.,Drive-by Shooting,Victims Targeted,Yes,No,No,No,No,No,No,No,99,No
20220314CAKRP,https://ktla.com/news/local-news/placentia-middle-school-assistant-principal-dies-by-suicide-on-campus-school-district/ https://www.nbcnews.com/news/us-news/middle-school-principal-dies-suicide-southern-california-campus-offici-rcna20007,20,National,4,14/03/2022,Spring,Kraemer Middle School,Placentia,CA,Middle,Office,Inside School Building,Yes,Morning Classes,09:00:00,School administrator commit suicide with firearm in office during school,An adult school administrator commit suicide with a firearm in the bathroom of the school office during morning classes. School went on lockdown and then dismissed. ,Suicide/Attempted,Victims Targeted,No,null,No,No,No,No,No,No,1,No
20220310TNHAM,https://www.actionnews5.com/2022/03/11/memphis-mother-accused-pointing-gun-5-children-outside-school/,1,Local,3,10/03/2022,Spring,Hamilton Middle School,Memphis,TN,K-8,Front of School,Outside on School Property,Yes,School Start,08:00:00,Mother threatened 5 students with gun during argument,A parent pointed a handgun at and threatened 5 students during an argument in front of the school. Arrested and charged with 5 counts of aggravated assault. Admitted pointing handgun at students to police.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,NO,No,No,0,No
20220225NMWEA,https://www.santafenewmexican.com/news/local_news/albuquerque-police-arrest-teen-accused-in-fatal-shooting/article_8549e4ba-9720-11ec-abf4-834ea5fc7066.html https://www.cbs58.com/news/police-arrest-14-year-old-in-connection-with-fatal-shooting-near-albuquerque-high-school https://www.krqe.com/news/albuquerque-metro/west-mesa-high-school-in-shelter-in-place-due-to-nearby-police-activity/ https://www.koat.com/article/west-mesa-high-school-in-shelter-in-place-following-shooting/39225432,100,National,4,25/02/2022,Winter,West Mesa High School,Albuquerque,NM,High,Football Field/Track,Off School Property,Yes,Morning Classes,08:00:00,"Student fatally shot another student during dispute over stolen ""ghost gun""",A 14-year-old student fatally shot a 16-year-old student during a dispute over a stolen gun that was purchased online. The victim was walking in front of the school and was chased by the shooter down the street near the football field. Victim was shot 5-6 times and died at the scene. Students changing classes for 2nd period were outside and witnessed the shooting. School went into lockdown and then dismissed early. ,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,6,No
20220202KYLOR,https://www.wnky.com/sheriffs-office-investigating-several-shots-fired-incidences-including-one-at-a-school-no-injuries/,1,Local,4,02/02/2022,Winter,Logan County Community Technology Center,Russellville,KY,High,Front of School,Outside on School Property,No,Before School,08:15:00,Two windows of the school building shot,Two windows of the school building were shot. Not students or staff inside when the shooting occurred. ,Intentional Property Damage,Random Shooting,No,No,No,No,No,No,No,No,99,No
